0	6.332	6.332		2
0	7.332	7.332	0	2
0	8.332	8.332	0	2
0	9.332	9.332	0	2
0	10.332	10.332	0	2
0	11.332	11.332	0	2
0	12.332	12.332	0	2
0	13.332	13.332	0	2
0	14.332	14.332	0	2
0	15.332	15.332	0	2
0.01	6.334	6.334	0.003183099	2
0.01	7.332	7.332	0.003183099	2
0.01	8.334	8.334	0.003183099	2
0.01	9.332	9.332	0.003183099	2
0.01	10.334	10.334	0.003183099	2
0.01	11.332	11.332	0.003183099	2
0.01	12.334	12.334	0.003183099	2
0.01	13.332	13.332	0.003183099	2
0.01	14.334	14.334	0.003183099	2
0.01	15.332	15.332	0.003183099	2
0.02	6.334	6.334	0.006366198	2
0.02	7.332	7.332	0.006366198	2
0.02	8.334	8.334	0.006366198	2
0.02	9.332	9.332	0.006366198	2
0.02	10.334	10.334	0.006366198	2
0.02	11.332	11.332	0.006366198	2
0.02	12.334	12.334	0.006366198	2
0.02	13.332	13.332	0.006366198	2
0.02	14.334	14.334	0.006366198	2
0.02	15.332	15.332	0.006366198	2
0.03	6.334	6.334	0.009549297	2
0.03	7.332	7.332	0.009549297	2
0.03	8.334	8.334	0.009549297	2
0.03	9.332	9.332	0.009549297	2
0.03	10.334	10.334	0.009549297	2
0.03	11.332	11.332	0.009549297	2
0.03	12.334	12.334	0.009549297	2
0.03	13.332	13.332	0.009549297	2
0.03	14.334	14.334	0.009549297	2
0.03	15.332	15.332	0.009549297	2
0.04	6.336	6.336	0.012732395	2
0.04	7.332	7.332	0.012732395	2
0.04	8.336	8.336	0.012732395	2
0.04	9.332	9.332	0.012732395	2
0.04	10.336	10.336	0.012732395	2
0.04	11.332	11.332	0.012732395	2
0.04	12.336	12.336	0.012732395	2
0.04	13.332	13.332	0.012732395	2
0.04	14.336	14.336	0.012732395	2
0.04	15.332	15.332	0.012732395	2
0.05	6.336	6.336	0.015915494	2
0.05	7.332	7.332	0.015915494	2
0.05	8.336	8.336	0.015915494	2
0.05	9.332	9.332	0.015915494	2
0.05	10.336	10.336	0.015915494	2
0.05	11.332	11.332	0.015915494	2
0.05	12.336	12.336	0.015915494	2
0.05	13.332	13.332	0.015915494	2
0.05	14.336	14.336	0.015915494	2
0.05	15.332	15.332	0.015915494	2
0.06	6.336	6.336	0.019098593	2
0.06	7.332	7.332	0.019098593	2
0.06	8.336	8.336	0.019098593	2
0.06	9.332	9.332	0.019098593	2
0.06	10.336	10.336	0.019098593	2
0.06	11.332	11.332	0.019098593	2
0.06	12.336	12.336	0.019098593	2
0.06	13.332	13.332	0.019098593	2
0.06	14.336	14.336	0.019098593	2
0.06	15.332	15.332	0.019098593	2
0.07	6.336	6.336	0.022281692	2
0.07	7.33	7.33	0.022281692	2
0.07	8.336	8.336	0.022281692	2
0.07	9.33	9.33	0.022281692	2
0.07	10.336	10.336	0.022281692	2
0.07	11.33	11.33	0.022281692	2
0.07	12.336	12.336	0.022281692	2
0.07	13.33	13.33	0.022281692	2
0.07	14.336	14.336	0.022281692	2
0.07	15.33	15.33	0.022281692	2
0.08	6.336	6.336	0.025464791	2
0.08	7.33	7.33	0.025464791	2
0.08	8.336	8.336	0.025464791	2
0.08	9.33	9.33	0.025464791	2
0.08	10.336	10.336	0.025464791	2
0.08	11.33	11.33	0.025464791	2
0.08	12.336	12.336	0.025464791	2
0.08	13.33	13.33	0.025464791	2
0.08	14.336	14.336	0.025464791	2
0.08	15.33	15.33	0.025464791	2
0.09	6.336	6.336	0.02864789	2
0.09	7.328	7.328	0.02864789	2
0.09	8.334	8.334	0.02864789	1.998
0.09	9.328	9.328	0.02864789	2
0.09	10.334	10.334	0.02864789	2
0.09	11.328	11.328	0.02864789	2
0.09	12.334	12.334	0.02864789	2
0.09	13.328	13.328	0.02864789	2
0.09	14.334	14.334	0.02864789	2
0.09	15.328	15.328	0.02864789	2
0.1	6.334	6.334	0.031830989	2
0.1	7.326	7.326	0.031830989	2
0.1	8.334	8.334	0.031830989	2
0.1	9.326	9.326	0.031830989	2
0.1	10.334	10.334	0.031830989	2
0.1	11.326	11.326	0.031830989	2
0.1	12.334	12.334	0.031830989	2
0.1	13.326	13.326	0.031830989	2
0.1	14.332	14.332	0.031830989	1.998
0.1	15.326	15.326	0.031830989	2
0.11	6.332	6.332	0.035014087	2
0.11	7.324	7.324	0.035014087	2
0.11	8.332	8.332	0.035014087	2
0.11	9.324	9.324	0.035014087	2
0.11	10.332	10.332	0.035014087	2
0.11	11.324	11.324	0.035014087	2
0.11	12.332	12.332	0.035014087	2
0.11	13.324	13.324	0.035014087	2
0.11	14.33	14.33	0.035014087	1.998
0.11	15.324	15.324	0.035014087	2
0.12	6.33	6.33	0.038197186	2
0.12	7.322	7.322	0.038197186	2
0.12	8.33	8.33	0.038197186	2
0.12	9.322	9.322	0.038197186	2
0.12	10.33	10.33	0.038197186	2
0.12	11.322	11.322	0.038197186	2
0.12	12.328	12.328	0.038197186	1.998
0.12	13.32	13.32	0.038197186	1.998
0.12	14.328	14.328	0.038197186	2
0.12	15.32	15.32	0.038197186	2
0.13	6.328	6.328	0.041380285	2
0.13	7.318	7.318	0.041380285	1.998
0.13	8.328	8.328	0.041380285	2
0.13	9.318	9.318	0.041380285	2
0.13	10.326	10.326	0.041380285	1.998
0.13	11.318	11.318	0.041380285	2
0.13	12.326	12.326	0.041380285	2
0.13	13.318	13.318	0.041380285	2
0.13	14.326	14.326	0.041380285	2
0.13	15.318	15.318	0.041380285	2
0.14	6.324	6.324	0.044563384	2
0.14	7.316	7.316	0.044563384	2
