0	6.124	6.124	0.75
0	6.5	6.5	0.75
0	6.874	6.874	0.75
0	7.25	7.25	0.75
0	7.624	7.624	0.75
0	8	8	0.75
0	8.374	8.374	0.75
0	8.75	8.75	0.75
0	9.124	9.124	0.75
0	9.5	9.5	0.75
0	9.874	9.874	0.75
0	10.25	10.25	0.75
0	10.624	10.624	0.75
0	11	11	0.75
0	11.374	11.374	0.75
0	11.75	11.75	0.75
0	12.124	12.124	0.75
0	12.5	12.5	0.75
0	12.874	12.874	0.75
0	13.25	13.25	0.75
0	13.624	13.624	0.75
0	14	14	0.75
0	14.374	14.374	0.75
0	14.75	14.75	0.75
0	15.124	15.124	0.75
0	15.5	15.5	0.75
0	15.874	15.874	0.75
0.01	6.248	6.248	0.748
0.01	6.624	6.624	0.75
0.01	6.998	6.998	0.75
0.01	7.374	7.374	0.75
0.01	7.748	7.748	0.75
0.01	8.124	8.124	0.75
0.01	8.5	8.5	0.752
0.01	8.874	8.874	0.75
0.01	9.248	9.248	0.748
0.01	9.624	9.624	0.75
0.01	9.998	9.998	0.75
0.01	10.374	10.374	0.75
0.01	10.748	10.748	0.75
0.01	11.124	11.124	0.75
0.01	11.5	11.5	0.752
0.01	11.874	11.874	0.75
0.01	12.248	12.248	0.748
0.01	12.624	12.624	0.75
0.01	12.998	12.998	0.75
0.01	13.374	13.374	0.75
0.01	13.748	13.748	0.75
0.01	14.124	14.124	0.75
0.01	14.5	14.5	0.752
0.01	14.874	14.874	0.75
0.01	15.248	15.248	0.748
0.01	15.624	15.624	0.75
0.01	15.998	15.998	0.75
0.02	6.374	6.374	0.75
0.02	6.75	6.75	0.752
0.02	7.124	7.124	0.75
0.02	7.5	7.5	0.75
0.02	7.874	7.874	0.75
0.02	8.25	8.25	0.75
0.02	8.624	8.624	0.75
0.02	8.998	8.998	0.748
0.02	9.374	9.374	0.75
0.02	9.75	9.75	0.752
0.02	10.124	10.124	0.75
0.02	10.5	10.5	0.75
0.02	10.874	10.874	0.75
0.02	11.25	11.25	0.75
0.02	11.624	11.624	0.75
0.02	11.998	11.998	0.748
0.02	12.374	12.374	0.75
0.02	12.75	12.75	0.752
0.02	13.124	13.124	0.75
0.02	13.5	13.5	0.75
0.02	13.874	13.874	0.75
0.02	14.25	14.25	0.75
0.02	14.624	14.624	0.75
0.02	14.998	14.998	0.748
0.02	15.374	15.374	0.75
0.02	15.75	15.75	0.752
0.03	6.124	6.124	0.75
0.03	6.5	6.5	0.75
0.03	6.874	6.874	0.75
0.03	7.25	7.25	0.75
0.03	7.624	7.624	0.75
0.03	7.998	7.998	0.748
0.03	8.374	8.374	0.75
0.03	8.75	8.75	0.752
0.03	9.124	9.124	0.75
0.03	9.5	9.5	0.75
0.03	9.874	9.874	0.75
0.03	10.25	10.25	0.75
0.03	10.624	10.624	0.75
0.03	10.998	10.998	0.748
0.03	11.374	11.374	0.75
0.03	11.75	11.75	0.752
0.03	12.124	12.124	0.75
0.03	12.5	12.5	0.75
0.03	12.874	12.874	0.75
0.03	13.25	13.25	0.75
0.03	13.624	13.624	0.75
0.03	13.998	13.998	0.748
0.03	14.374	14.374	0.75
0.03	14.75	14.75	0.752
0.03	15.126	15.126	0.752
0.03	15.5	15.5	0.75
0.03	15.876	15.876	0.75
0.04	6.25	6.25	0.75
0.04	6.624	6.624	0.748
0.04	6.998	6.998	0.748
0.04	7.374	7.374	0.75
0.04	7.75	7.75	0.752
0.04	8.126	8.126	0.752
0.04	8.5	8.5	0.75
0.04	8.876	8.876	0.75
0.04	9.25	9.25	0.75
0.04	9.624	9.624	0.748
0.04	9.998	9.998	0.748
0.04	10.374	10.374	0.75
