0.258000 1.621062 2.088572 1.212947 
0.260000 1.633628 2.091055 1.241432 
0.262000 1.646195 2.093594 1.269896 
0.264000 1.658761 2.096191 1.298334 
0.266000 1.671327 2.098844 1.326741 
0.268000 1.683894 2.101555 1.355112 
0.270000 1.696460 2.104322 1.383443 
0.272000 1.709026 2.107145 1.411729 
0.274000 1.721593 2.110025 1.439966 
0.276000 1.734159 2.112961 1.468149 
0.278000 1.746726 2.115954 1.496273 
0.280000 1.759292 2.119002 1.524336 
0.282000 1.771858 2.122107 1.552333 
0.284000 1.784425 2.125268 1.580260 
0.286000 1.796991 2.128484 1.608113 
0.288000 1.809557 2.131756 1.635889 
0.290000 1.822124 2.135083 1.663584 
0.292000 1.834690 2.138465 1.691196 
0.294000 1.847256 2.141903 1.718720 
0.296000 1.859823 2.145395 1.746153 
0.298000 1.872389 2.148942 1.773493 
0.300000 1.884956 2.152543 1.800737 
0.302000 1.897522 2.156199 1.827881 
0.304000 1.910088 2.159909 1.854923 
0.306000 1.922655 2.163673 1.881861 
0.308000 1.935221 2.167490 1.908691 
0.310000 1.947787 2.171361 1.935412 
0.312000 1.960354 2.175285 1.962021 
0.314000 1.972920 2.179262 1.988516 
0.316000 1.985487 2.183292 2.014894 
0.318000 1.998053 2.187374 2.041154 
0.320000 2.010619 2.191509 2.067294 
0.322000 2.023186 2.195695 2.093312 
0.324000 2.035752 2.199934 2.119205 
0.326000 2.048318 2.204224 2.144974 
0.328000 2.060885 2.208565 2.170614 
0.330000 2.073451 2.212957 2.196126 
0.332000 2.086018 2.217400 2.221508 
0.334000 2.098584 2.221894 2.246758 
0.336000 2.111150 2.226437 2.271876 
0.338000 2.123717 2.231031 2.296859 
0.340000 2.136283 2.235675 2.321706 
0.342000 2.148849 2.240367 2.346418 
0.344000 2.161416 2.245109 2.370992 
0.346000 2.173982 2.249900 2.395427 
0.348000 2.186548 2.254740 2.419724 
0.350000 2.199115 2.259627 2.443880 
0.352000 2.211681 2.264563 2.467895 
0.354000 2.224248 2.269547 2.491769 
0.356000 2.236814 2.274578 2.515501 
0.358000 2.249380 2.279656 2.539090 
0.360000 2.261947 2.284781 2.562536 
0.362000 2.274513 2.289953 2.585838 
0.364000 2.287079 2.295171 2.608995 
0.366000 2.299646 2.300435 2.632009 
